あ,ä,A
い,i,I
う,ɯ,U
え,e̞,E
お,o̞,O
か,ka,Ka
き,ki,Ki
く,kɯ,Ku
け,ke̞,Ke
こ,ko̞,Ko
さ,sa,Sa
し,ɕi,Shi
す,sɯ,Su
せ,se̞,Se
そ,so̞,So
た,ta,Ta
ち,ʨi,Chi
つ,t͡sɯ,Tsu
て,te̞,Te
と,to̞,To
な,na,Na
に,ɲi,Ni
ぬ,nɯ,Nu
ね,ne̞,Ne
の,no̞,No
は,ha,Ha
ひ,çi,Hi
ふ,ɸɯ,Fu
へ,he̞,He
ほ,ho̞,Ho
ま,ma,Ma
み,mi,Mi
む,mɯ,Mu
め,me̞,Me
も,mo̞,Mo
や,ja,Ya
ゆ,jɯ,Yu
よ,jo̞,Yo
ら,ɺa,Ra
り,ɺi,Ri
る,ɺɯ,Ru
れ,ɺe̞,Re
ろ,ɺo̞,Ro
わ,ɰa,Wa
を,ɰo̞,Wo
ん,n,N
が,ga,Ga
ぎ,gi,Gi
ぐ,gɯ,Gu
げ,ge̞,Ge
ご,go̞,Go
ざ,za,Za
じ,ʑi,Ji
ず,zɯ,Zu
ぜ,ze,Ze
ぞ,zo,Zo
だ,da,Da
で,de,De
ど,do,Do
ば,ba,Ba
び,bi,Bi
ぶ,bɯ,Bu
べ,be̞,Be
ぼ,bo̞,Bo
ぱ,pʰa,Pa
ぴ,pʰi,Pi
ぷ,pʰɯ,Pu
ぺ,pʰe̞,Pe
ぽ,pʰo̞,Po
きゃ,kja,Kya
きゅ,kjɯ,Kyu
きょ,kjo̞,Kyo
しゃ,sja,Sha
しゅ,sjɯ,Shu
しょ,sjo̞,Sho
ちゃ,tɕʰja,Cha
ちゅ,tɕʰjɯ,Chu
ちょ,tɕʰjo̞,Cho
にゃ,nja,Nya
にゅ,njɯ,Nyu
にょ,njo̞,Nyo
ひゃ,,Hya
ひゅ,,Hyu
ひょ,,Hyo
みゃ,,Mya
みゅ,,Myu
みょ,,Myo
りゃ,,Rya
りゅ,,Ryu
りょ,,Ryo
ぎゃ,,Gya
ぎゅ,,Gyu
ぎょ,,Gyo
じゃ,,Ja
じゅ,,Ju
じょ,,Jo
びゃ,,Bya
びゅ,,Byu
びょ,,Byo
ぴゃ,,Pya
ぴゅ,,Pyu
ぴょ,,Pyo
いぇ,,Ye
きぇ,,Kye
しぇ,,She
ちぇ,,Che
にぇ,,Nye
ひぇ,,Hye
みぇ,,Mye
りぇ,,Rye
ぎぇ,,Gye
じぇ,,Je
びぇ,,Bye
ぴぇ,,Pye
うぁ,,Wha
うぃ,ɰi,Wi
うぇ,ɰe̞,We
うぉ,,Who
くぁ,,Kwa
くぃ,,Kwi
くぇ,,Kwe
くぉ,,Kwo
すぁ,,Swa
すぃ,,Swi
すぇ,,Swe
すぉ,,Swo
つぁ,,Tsa
つぃ,,Tsi
つぇ,,Tse
つぉ,,Tso
ぬぁ,,Nwa
ぬぃ,,Nwi
ぬぇ,,Nwe
ぬぉ,,Nwo
ふぁ,,Fa
ふぃ,,Fi
ふぇ,,Fe
ふぉ,,Fo
むぁ,,Mha
むぃ,,Mhi
むぇ,,Mhe
むぉ,,Mho
るぁ,,Rwa
るぃ,,Rwi
